atomic_number,symbol,zh_name,en_name,official_mapping,omnipack_mapping,candidate_mods,selected_source,selected_source_commit,implementation_type,stable_id,status,tests
28,Ni,镍,Nickel,,OMNI_PT_NICL,,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,260,implemented,runtime-tested
29,Cu,铜,Copper,,OMNI_PT_COPR,,cracker1000/The-Powder-Toy,eb474d385ffb5ebd545cf9f5f3cf513ffba9fe35,reuse_omnipack,257,implemented,runtime-tested
30,Zn,锌,Zinc,,OMNI_PT_ZINC,ultimata,TPT-ZH-OmniPack/original,aeba92d553932a4c3f214457b4f6fe38ea039add,reuse_omnipack,265,implemented,runtime-tested
31,Ga,镓,Gallium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,385,planned,not_tested
32,Ge,锗,Germanium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,386,planned,not_tested
33,As,砷,Arsenic,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,387,planned,not_tested
34,Se,硒,Selenium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,388,planned,not_tested
35,Br,溴,Bromine,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,389,planned,not_tested
36,Kr,氪,Krypton,,OMNI_PT_KR,,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,390,implemented,runtime-tested
37,Rb,铷,Rubidium,DEFAULT_PT_RBDM,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,41,implemented,source-verified
38,Sr,锶,Strontium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,391,planned,not_tested
39,Y,钇,Yttrium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,392,planned,not_tested
40,Zr,锆,Zirconium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,393,planned,not_tested
41,Nb,铌,Niobium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,394,planned,not_tested
42,Mo,钼,Molybdenum,,OMNI_PT_MOLY,,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,264,implemented,runtime-tested
43,Tc,锝,Technetium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,395,planned,not_tested
44,Ru,钌,Ruthenium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,396,planned,not_tested
45,Rh,铑,Rhodium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,397,planned,not_tested
46,Pd,钯,Palladium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,398,planned,not_tested
47,Ag,银,Silver,,,chem_mod_lua,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,399,planned,not_tested
48,Cd,镉,Cadmium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,400,planned,not_tested
49,In,铟,Indium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,401,planned,not_tested
50,Sn,锡,Tin,,OMNI_PT_TIN,ultimata,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,259,implemented,runtime-tested
51,Sb,锑,Antimony,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,402,planned,not_tested
52,Te,碲,Tellurium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,403,planned,not_tested
53,I,碘,Iodine,,,chem_mod_lua,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,404,planned,not_tested
54,Xe,氙,Xenon,,OMNI_PT_XE,,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,405,implemented,runtime-tested
55,Cs,铯,Caesium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,406,planned,not_tested
56,Ba,钡,Barium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,407,planned,not_tested
57,La,镧,Lanthanum,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,408,planned,not_tested
58,Ce,铈,Cerium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,409,planned,not_tested
59,Pr,镨,Praseodymium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,410,planned,not_tested
60,Nd,钕,Neodymium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,411,planned,not_tested
61,Pm,钷,Promethium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,412,planned,not_tested
62,Sm,钐,Samarium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,413,planned,not_tested
63,Eu,铕,Europium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,414,planned,not_tested
64,Gd,钆,Gadolinium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,415,planned,not_tested
65,Tb,铽,Terbium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,416,planned,not_tested
66,Dy,镝,Dysprosium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,417,planned,not_tested
67,Ho,钬,Holmium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,418,planned,not_tested
68,Er,铒,Erbium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,419,planned,not_tested
69,Tm,铥,Thulium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,420,planned,not_tested
70,Yb,镱,Ytterbium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,421,planned,not_tested
71,Lu,镥,Lutetium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,422,planned,not_tested
72,Hf,铪,Hafnium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,423,planned,not_tested
73,Ta,钽,Tantalum,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,424,planned,not_tested
74,W,钨,Tungsten,DEFAULT_PT_TUNG,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,171,implemented,source-verified
75,Re,铼,Rhenium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,425,planned,not_tested
76,Os,锇,Osmium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,426,planned,not_tested
77,Ir,铱,Iridium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,427,planned,not_tested
78,Pt,铂,Platinum,DEFAULT_PT_PTNM,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,188,implemented,source-verified
79,Au,金,Gold,DEFAULT_PT_GOLD,,alchemy;biological_mod;bmn_mod;chemistry_mod;cracker1000;cyens;cyens_src;dtttpt;jacob1;magnet_toy;metacircuits;norbs_mod;nucular_mod;powder_better;record_mod;science_toy;seppo;spikeviper;ultimata,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,170,implemented,source-verified
80,Hg,汞,Mercury,DEFAULT_PT_MERC,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,152,implemented,source-verified
81,Tl,铊,Thallium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,428,planned,not_tested
82,Pb,铅,Lead,,OMNI_PT_LEAD,ultimata,SeppoTPT/Seppo-s-Metallurgy-Mod-SRC,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,reuse_omnipack,258,implemented,runtime-tested
83,Bi,铋,Bismuth,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,429,planned,not_tested
84,Po,钋,Polonium,DEFAULT_PT_POLO,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,182,implemented,source-verified
85,At,砹,Astatine,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,430,planned,not_tested
86,Rn,氡,Radon,,OMNI_PT_RN,,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,431,implemented,runtime-tested
87,Fr,钫,Francium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,432,planned,not_tested
88,Ra,镭,Radium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,433,planned,not_tested
89,Ac,锕,Actinium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,434,planned,not_tested
90,Th,钍,Thorium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,435,planned,not_tested
91,Pa,镤,Protactinium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,436,planned,not_tested
92,U,铀,Uranium,DEFAULT_PT_URAN,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,32,implemented,source-verified
93,Np,镎,Neptunium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,437,planned,not_tested
94,Pu,钚,Plutonium,DEFAULT_PT_PLUT,,,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,reuse_official,19,implemented,source-verified
95,Am,镅,Americium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,438,planned,not_tested
96,Cm,锔,Curium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,439,planned,not_tested
97,Bk,锫,Berkelium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,440,planned,not_tested
98,Cf,锎,Californium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,441,planned,not_tested
99,Es,锿,Einsteinium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,442,planned,not_tested
100,Fm,镄,Fermium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,443,planned,not_tested
101,Md,钔,Mendelevium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,444,planned,not_tested
102,No,锘,Nobelium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,445,planned,not_tested
103,Lr,铹,Lawrencium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,446,planned,not_tested
104,Rf,𬬻,Rutherfordium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,447,planned,not_tested
105,Db,𬭊,Dubnium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,448,planned,not_tested
106,Sg,𬭳,Seaborgium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,449,planned,not_tested
107,Bh,𬭛,Bohrium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,450,planned,not_tested
108,Hs,𬭶,Hassium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,451,planned,not_tested
109,Mt,鿏,Meitnerium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,452,planned,not_tested
110,Ds,𫟼,Darmstadtium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,453,planned,not_tested
111,Rg,𬬭,Roentgenium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,454,planned,not_tested
112,Cn,鿔,Copernicium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,455,planned,not_tested
113,Nh,鿭,Nihonium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,456,planned,not_tested
114,Fl,𫓧,Flerovium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,457,planned,not_tested
115,Mc,镆,Moscovium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,458,planned,not_tested
116,Lv,𫟷,Livermorium,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,459,planned,not_tested
117,Ts,鿬,Tennessine,,,,TPT-ZH-OmniPack/family-generated,not_implemented,family_generated,460,planned,not_tested
118,Og,鿫,Oganesson,,OMNI_PT_OG,,TPT-ZH-OmniPack/original,21b160a5bd25df266c6f82528eb12f3103b39b03,family_generated,461,implemented,runtime-tested
