stable_id,identifier,display_code,english_name,chinese_name,record_status,canonical_identifier,source_class,material_category,source_menu,source_menu_visible,main_menu_policy,current_rc9_entry,target_entry,periodic_atomic_numbers,periodic_symbols,periodic_relation_groups,duplicate_concept,module,module_disable_behavior,save_compatibility,description_coverage,source_mod,source_commit,source_file,license,relation_provenance,confidence,notes
10,DEFAULT_PT_GAS,GAS,Gas,石油气,canonical,DEFAULT_PT_GAS,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GAS.cpp,GPL-3.0-only,,high,
11,DEFAULT_PT_PLEX,C-4,C-4,C-4 塑胶炸药,canonical,DEFAULT_PT_PLEX,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PLEX.cpp,GPL-3.0-only,,high,
12,DEFAULT_PT_GOO,GOO,Goo,黏胶,canonical,DEFAULT_PT_GOO,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GOO.cpp,GPL-3.0-only,,high,
13,DEFAULT_PT_ICEI,ICE,Ice,冰,canonical,DEFAULT_PT_ICEI,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ICEI.cpp,GPL-3.0-only,,high,
14,DEFAULT_PT_METL,METL,Metal,金属,canonical,DEFAULT_PT_METL,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/METL.cpp,GPL-3.0-only,,high,
15,DEFAULT_PT_SPRK,SPRK,Spark,电火花,canonical,DEFAULT_PT_SPRK,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SPRK.cpp,GPL-3.0-only,,high,
16,DEFAULT_PT_SNOW,SNOW,Snow,雪,canonical,DEFAULT_PT_SNOW,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SNOW.cpp,GPL-3.0-only,,high,
17,DEFAULT_PT_WOOD,WOOD,Wood,木材,canonical,DEFAULT_PT_WOOD,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WOOD.cpp,GPL-3.0-only,,high,
18,DEFAULT_PT_NEUT,NEUT,Neutron,中子,canonical,DEFAULT_PT_NEUT,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NEUT.cpp,GPL-3.0-only,,high,
19,DEFAULT_PT_PLUT,PLUT,Plutonium,钚,canonical,DEFAULT_PT_PLUT,official_original,single_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR+periodic_table,main_menu:SC_NUCLEAR+periodic_table,94,Pu,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PLUT.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
20,DEFAULT_PT_PLNT,PLNT,Plant,植物,canonical,DEFAULT_PT_PLNT,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PLNT.cpp,GPL-3.0-only,,high,
21,DEFAULT_PT_ACID,ACID,Acid,酸液,canonical,DEFAULT_PT_ACID,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ACID.cpp,GPL-3.0-only,,high,
22,DEFAULT_PT_VOID,VOID,Void,虚空,canonical,DEFAULT_PT_VOID,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/VOID.cpp,GPL-3.0-only,,high,
23,DEFAULT_PT_WTRV,WTRV,Water Vapor,水蒸气,canonical,DEFAULT_PT_WTRV,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WTRV.cpp,GPL-3.0-only,,high,
24,DEFAULT_PT_CNCT,CNCT,Concrete,混凝土,canonical,DEFAULT_PT_CNCT,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/CNCT.cpp,GPL-3.0-only,,high,
25,DEFAULT_PT_DSTW,DSTW,Distilled Water,蒸馏水,canonical,DEFAULT_PT_DSTW,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DSTW.cpp,GPL-3.0-only,,high,
26,DEFAULT_PT_SALT,SALT,Salt,盐,canonical,DEFAULT_PT_SALT,official_original,salt,SC_POWDERS,true,official_default,main_menu:SC_POWDERS+periodic_table,main_menu:SC_POWDERS+periodic_table,11|17,Na|Cl,salt,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SALT.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
27,DEFAULT_PT_SLTW,SLTW,Salt Water,盐水,canonical,DEFAULT_PT_SLTW,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SLTW.cpp,GPL-3.0-only,,high,
28,DEFAULT_PT_DMND,DMND,Diamond,钻石,canonical,DEFAULT_PT_DMND,official_original,single_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL+periodic_table,main_menu:SC_SPECIAL+periodic_table,6,C,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/DMND.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,Upstream diamond behavior is retained as the pure-carbon allotrope mapping.
29,DEFAULT_PT_BMTL,BMTL,Breakable Metal,可破坏金属,canonical,DEFAULT_PT_BMTL,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BMTL.cpp,GPL-3.0-only,,high,
30,DEFAULT_PT_BRMT,BRMT,Broken Metal,金属粉,canonical,DEFAULT_PT_BRMT,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BRMT.cpp,GPL-3.0-only,,high,Canonical implementation for the merged OMNI_PT_MSCR compatibility alias.
31,DEFAULT_PT_PHOT,PHOT,Photon,光子,canonical,DEFAULT_PT_PHOT,official_original,official_sandbox_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR,main_menu:SC_NUCLEAR,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PHOT.cpp,GPL-3.0-only,,high,
32,DEFAULT_PT_URAN,URAN,Uranium,铀,canonical,DEFAULT_PT_URAN,official_original,single_element,SC_NUCLEAR,true,official_default,main_menu:SC_NUCLEAR+periodic_table,main_menu:SC_NUCLEAR+periodic_table,92,U,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/URAN.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
33,DEFAULT_PT_WAX,WAX,Wax,蜡,canonical,DEFAULT_PT_WAX,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WAX.cpp,GPL-3.0-only,,high,
34,DEFAULT_PT_MWAX,MWAX,Molten Wax,熔融蜡,canonical,DEFAULT_PT_MWAX,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/MWAX.cpp,GPL-3.0-only,,high,
35,DEFAULT_PT_PSCN,PSCN,P-Type Silicon,P 型硅,canonical,DEFAULT_PT_PSCN,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PSCN.cpp,GPL-3.0-only,,high,
36,DEFAULT_PT_NSCN,NSCN,N-Type Silicon,N 型硅,canonical,DEFAULT_PT_NSCN,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NSCN.cpp,GPL-3.0-only,,high,
37,DEFAULT_PT_LNTG,LN2,Liquid Nitrogen,液氮,canonical,DEFAULT_PT_LNTG,official_original,official_sandbox_element,SC_LIQUID,true,official_default,main_menu:SC_LIQUID,main_menu:SC_LIQUID,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LNTG.cpp,GPL-3.0-only,,high,
38,DEFAULT_PT_INSL,INSL,Insulator,绝缘体,canonical,DEFAULT_PT_INSL,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/INSL.cpp,GPL-3.0-only,,high,
39,DEFAULT_PT_BHOL,VACU,Vacuum,真空孔,canonical,DEFAULT_PT_BHOL,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BHOL.cpp,GPL-3.0-only,,high,
40,DEFAULT_PT_WHOL,VENT,Vent,排气孔,canonical,DEFAULT_PT_WHOL,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/WHOL.cpp,GPL-3.0-only,,high,
41,DEFAULT_PT_RBDM,RBDM,Rubidium,铷,canonical,DEFAULT_PT_RBDM,official_original,single_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE+periodic_table,main_menu:SC_EXPLOSIVE+periodic_table,37,Rb,element,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/RBDM.cpp,GPL-3.0-only,docs/PERIODIC_CONTENT_LINKS.csv,high,
42,DEFAULT_PT_LRBD,LRBD,Liquid Rubidium,液态铷,canonical,DEFAULT_PT_LRBD,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LRBD.cpp,GPL-3.0-only,,high,
43,DEFAULT_PT_NTCT,NTCT,NTC Thermistor,负温度系数热敏电阻,canonical,DEFAULT_PT_NTCT,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NTCT.cpp,GPL-3.0-only,,high,
44,DEFAULT_PT_SAND,SAND,Sand,沙,canonical,DEFAULT_PT_SAND,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SAND.cpp,GPL-3.0-only,,high,
45,DEFAULT_PT_GLAS,GLAS,Glass,玻璃,canonical,DEFAULT_PT_GLAS,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/GLAS.cpp,GPL-3.0-only,,high,
46,DEFAULT_PT_PTCT,PTCT,PTC Thermistor,正温度系数热敏电阻,canonical,DEFAULT_PT_PTCT,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PTCT.cpp,GPL-3.0-only,,high,
47,DEFAULT_PT_BGLA,BGLA,Broken Glass,碎玻璃,canonical,DEFAULT_PT_BGLA,official_original,official_sandbox_element,SC_POWDERS,true,official_default,main_menu:SC_POWDERS,main_menu:SC_POWDERS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BGLA.cpp,GPL-3.0-only,,high,
48,DEFAULT_PT_THDR,THDR,Thunder,球状闪电,canonical,DEFAULT_PT_THDR,official_original,official_sandbox_element,SC_EXPLOSIVE,true,official_default,main_menu:SC_EXPLOSIVE,main_menu:SC_EXPLOSIVE,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/THDR.cpp,GPL-3.0-only,,high,
49,DEFAULT_PT_PLSM,PLSM,Plasma,等离子体,canonical,DEFAULT_PT_PLSM,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/PLSM.cpp,GPL-3.0-only,,high,
50,DEFAULT_PT_ETRD,ETRD,Electrode,电极,canonical,DEFAULT_PT_ETRD,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/ETRD.cpp,GPL-3.0-only,,high,
51,DEFAULT_PT_NICE,NICE,Nitrogen Ice,固态氮,canonical,DEFAULT_PT_NICE,official_original,official_sandbox_element,SC_SOLIDS,true,official_default,main_menu:SC_SOLIDS,main_menu:SC_SOLIDS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NICE.cpp,GPL-3.0-only,,high,
52,DEFAULT_PT_NBLE,NBLE,Noble Gas,稀有气体,canonical,DEFAULT_PT_NBLE,official_original,official_sandbox_element,SC_GAS,true,official_default,main_menu:SC_GAS,main_menu:SC_GAS,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/NBLE.cpp,GPL-3.0-only,,high,
53,DEFAULT_PT_BTRY,BTRY,Battery,电池,canonical,DEFAULT_PT_BTRY,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/BTRY.cpp,GPL-3.0-only,,high,
54,DEFAULT_PT_LCRY,LCRY,Liquid Crystal,液晶,canonical,DEFAULT_PT_LCRY,official_original,official_sandbox_element,SC_POWERED,true,official_default,main_menu:SC_POWERED,main_menu:SC_POWERED,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/LCRY.cpp,GPL-3.0-only,,high,
55,DEFAULT_PT_STKM,STKM,Stickman,火柴人,canonical,DEFAULT_PT_STKM,official_original,official_sandbox_element,SC_SPECIAL,true,official_default,main_menu:SC_SPECIAL,main_menu:SC_SPECIAL,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/STKM.cpp,GPL-3.0-only,,high,
56,DEFAULT_PT_SWCH,SWCH,Switch,开关,canonical,DEFAULT_PT_SWCH,official_original,official_sandbox_element,SC_ELEC,true,official_default,main_menu:SC_ELEC,main_menu:SC_ELEC,,,,canonical,official,always_available;stable_id_locked,official-locked,official_wiki_full+runtime_properties,The-Powder-Toy/The-Powder-Toy,bff38ce6959e1c1a7a4d17d0d5d44d127a0dfcbd,src/simulation/elements/SWCH.cpp,GPL-3.0-only,,high,
