identifier,stable_id,content_kind,main_menu_policy,periodic_atomic_numbers,standalone_menu
RESERVED_PT_354,354,hidden_internal,hidden,,
RESERVED_PT_355,355,hidden_internal,hidden,,
RESERVED_PT_356,356,hidden_internal,hidden,,
RESERVED_PT_357,357,hidden_internal,hidden,,
RESERVED_PT_358,358,hidden_internal,hidden,,
RESERVED_PT_359,359,hidden_internal,hidden,,
OMNI_PT_CHLR,360,periodic_element,periodic_only,17,periodic_table
OMNI_PT_AMON,361,inorganic_compound,periodic_only,1|7,periodic_table
OMNI_PT_ETHL,362,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_KERO,363,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_GASO,364,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ACTY,365,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_CATA,366,custom_special,preserve_existing,,SC_SOLIDS
OMNI_PT_POLY,367,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PERO,368,inorganic_compound,periodic_only,1|8,periodic_table
OMNI_PT_FERT,369,ecology_material,preserve_existing,,SC_POWDERS
OMNI_PT_HE,370,periodic_element,periodic_only,2,periodic_table
OMNI_PT_BE,371,periodic_element,periodic_only,4,periodic_table
OMNI_PT_B,372,periodic_element,periodic_only,5,periodic_table
OMNI_PT_N,373,periodic_element,periodic_only,7,periodic_table
OMNI_PT_F,374,periodic_element,periodic_only,9,periodic_table
OMNI_PT_NE,375,periodic_element,periodic_only,10,periodic_table
OMNI_PT_NA,376,periodic_element,periodic_only,11,periodic_table
OMNI_PT_P,377,periodic_element,periodic_only,15,periodic_table
OMNI_PT_S,378,periodic_element,periodic_only,16,periodic_table
OMNI_PT_AR,379,periodic_element,periodic_only,18,periodic_table
OMNI_PT_K,380,periodic_element,periodic_only,19,periodic_table
OMNI_PT_CA,381,periodic_element,periodic_only,20,periodic_table
OMNI_PT_SC,382,periodic_element,periodic_only,21,periodic_table
OMNI_PT_V,383,periodic_element,periodic_only,23,periodic_table
OMNI_PT_MN,384,periodic_element,periodic_only,25,periodic_table
OMNI_PT_GA,385,periodic_element,periodic_only,31,periodic_table
OMNI_PT_GE,386,periodic_element,periodic_only,32,periodic_table
OMNI_PT_AS,387,periodic_element,periodic_only,33,periodic_table
OMNI_PT_SE,388,periodic_element,periodic_only,34,periodic_table
OMNI_PT_BR,389,periodic_element,periodic_only,35,periodic_table
OMNI_PT_KR,390,periodic_element,periodic_only,36,periodic_table
OMNI_PT_SR,391,periodic_element,periodic_only,38,periodic_table
OMNI_PT_Y,392,periodic_element,periodic_only,39,periodic_table
OMNI_PT_ZR,393,periodic_element,periodic_only,40,periodic_table
OMNI_PT_NB,394,periodic_element,periodic_only,41,periodic_table
OMNI_PT_TC,395,periodic_element,periodic_only,43,periodic_table
OMNI_PT_RU,396,periodic_element,periodic_only,44,periodic_table
OMNI_PT_RH,397,periodic_element,periodic_only,45,periodic_table
OMNI_PT_PD,398,periodic_element,periodic_only,46,periodic_table
OMNI_PT_AG,399,periodic_element,periodic_only,47,periodic_table
OMNI_PT_CD,400,periodic_element,periodic_only,48,periodic_table
OMNI_PT_IN,401,periodic_element,periodic_only,49,periodic_table
OMNI_PT_SB,402,periodic_element,periodic_only,51,periodic_table
OMNI_PT_TE,403,periodic_element,periodic_only,52,periodic_table
OMNI_PT_I,404,periodic_element,periodic_only,53,periodic_table
OMNI_PT_XE,405,periodic_element,periodic_only,54,periodic_table
OMNI_PT_CS,406,periodic_element,periodic_only,55,periodic_table
OMNI_PT_BA,407,periodic_element,periodic_only,56,periodic_table
OMNI_PT_LA,408,periodic_element,periodic_only,57,periodic_table
OMNI_PT_CE,409,periodic_element,periodic_only,58,periodic_table
OMNI_PT_PR,410,periodic_element,periodic_only,59,periodic_table
OMNI_PT_ND,411,periodic_element,periodic_only,60,periodic_table
OMNI_PT_PM,412,periodic_element,periodic_only,61,periodic_table
OMNI_PT_SM,413,periodic_element,periodic_only,62,periodic_table
OMNI_PT_EU,414,periodic_element,periodic_only,63,periodic_table
OMNI_PT_GD,415,periodic_element,periodic_only,64,periodic_table
OMNI_PT_TB,416,periodic_element,periodic_only,65,periodic_table
OMNI_PT_DY,417,periodic_element,periodic_only,66,periodic_table
OMNI_PT_HO,418,periodic_element,periodic_only,67,periodic_table
OMNI_PT_ER,419,periodic_element,periodic_only,68,periodic_table
OMNI_PT_TM,420,periodic_element,periodic_only,69,periodic_table
OMNI_PT_YB,421,periodic_element,periodic_only,70,periodic_table
OMNI_PT_LU,422,periodic_element,periodic_only,71,periodic_table
OMNI_PT_HF,423,periodic_element,periodic_only,72,periodic_table
OMNI_PT_TA,424,periodic_element,periodic_only,73,periodic_table
OMNI_PT_RE,425,periodic_element,periodic_only,75,periodic_table
OMNI_PT_OS,426,periodic_element,periodic_only,76,periodic_table
OMNI_PT_IR,427,periodic_element,periodic_only,77,periodic_table
OMNI_PT_TL,428,periodic_element,periodic_only,81,periodic_table
OMNI_PT_BI,429,periodic_element,periodic_only,83,periodic_table
OMNI_PT_AT,430,periodic_element,periodic_only,85,periodic_table
OMNI_PT_RN,431,periodic_element,periodic_only,86,periodic_table
OMNI_PT_FR,432,periodic_element,periodic_only,87,periodic_table
OMNI_PT_RA,433,periodic_element,periodic_only,88,periodic_table
OMNI_PT_AC,434,periodic_element,periodic_only,89,periodic_table
OMNI_PT_TH,435,periodic_element,periodic_only,90,periodic_table
OMNI_PT_PA,436,periodic_element,periodic_only,91,periodic_table
OMNI_PT_NP,437,periodic_element,periodic_only,93,periodic_table
OMNI_PT_AM,438,periodic_element,periodic_only,95,periodic_table
OMNI_PT_CM,439,periodic_element,periodic_only,96,periodic_table
OMNI_PT_BK,440,periodic_element,periodic_only,97,periodic_table
OMNI_PT_CF,441,periodic_element,periodic_only,98,periodic_table
OMNI_PT_ES,442,periodic_element,periodic_only,99,periodic_table
OMNI_PT_FM,443,periodic_element,periodic_only,100,periodic_table
OMNI_PT_MD,444,periodic_element,periodic_only,101,periodic_table
OMNI_PT_NO,445,periodic_element,periodic_only,102,periodic_table
OMNI_PT_LR,446,periodic_element,periodic_only,103,periodic_table
OMNI_PT_RF,447,periodic_element,periodic_only,104,periodic_table
OMNI_PT_DB,448,periodic_element,periodic_only,105,periodic_table
OMNI_PT_SG,449,periodic_element,periodic_only,106,periodic_table
OMNI_PT_BH,450,periodic_element,periodic_only,107,periodic_table
OMNI_PT_HS,451,periodic_element,periodic_only,108,periodic_table
OMNI_PT_MT,452,periodic_element,periodic_only,109,periodic_table
OMNI_PT_DS,453,periodic_element,periodic_only,110,periodic_table
OMNI_PT_RG,454,periodic_element,periodic_only,111,periodic_table
OMNI_PT_CN,455,periodic_element,periodic_only,112,periodic_table
OMNI_PT_NH,456,periodic_element,periodic_only,113,periodic_table
OMNI_PT_FL,457,periodic_element,periodic_only,114,periodic_table
OMNI_PT_MC,458,periodic_element,periodic_only,115,periodic_table
OMNI_PT_LV,459,periodic_element,periodic_only,116,periodic_table
OMNI_PT_TS,460,periodic_element,periodic_only,117,periodic_table
OMNI_PT_OG,461,periodic_element,periodic_only,118,periodic_table
OMNI_PT_HCLA,462,inorganic_compound,periodic_only,1|17,periodic_table
OMNI_PT_SULA,463,inorganic_compound,periodic_only,1|8|16,periodic_table
OMNI_PT_NITA,464,inorganic_compound,periodic_only,1|7|8,periodic_table
OMNI_PT_PHOA,465,inorganic_compound,periodic_only,1|8|15,periodic_table
OMNI_PT_HYFA,466,inorganic_compound,periodic_only,1|9,periodic_table
OMNI_PT_NAOH,467,inorganic_compound,periodic_only,1|8|11,periodic_table
OMNI_PT_KOH,468,inorganic_compound,periodic_only,1|8|19,periodic_table
OMNI_PT_CAOH,469,inorganic_compound,periodic_only,1|8|20,periodic_table
OMNI_PT_KNIT,470,inorganic_compound,periodic_only,7|8|19,periodic_table
OMNI_PT_CUSF,471,inorganic_compound,periodic_only,8|16|29,periodic_table
OMNI_PT_CACO,472,inorganic_compound,periodic_only,6|8|20,periodic_table
OMNI_PT_NABC,473,inorganic_compound,periodic_only,1|6|8|11,periodic_table
OMNI_PT_COMO,474,inorganic_compound,periodic_only,6|8,periodic_table
OMNI_PT_SODI,475,inorganic_compound,periodic_only,8|16,periodic_table
OMNI_PT_NODI,476,inorganic_compound,periodic_only,7|8,periodic_table
OMNI_PT_CAOX,477,inorganic_compound,periodic_only,8|20,periodic_table
OMNI_PT_CARA,478,inorganic_compound,periodic_only,1|6|8,periodic_table
OMNI_PT_H2SG,479,inorganic_compound,periodic_only,1|16,periodic_table
OMNI_PT_AMWA,480,inorganic_compound,periodic_only,1|7|8,periodic_table
OMNI_PT_BAOH,481,inorganic_compound,periodic_only,1|8|56,periodic_table
OMNI_PT_KCL,482,inorganic_compound,periodic_only,17|19,periodic_table
OMNI_PT_CACL,483,inorganic_compound,periodic_only,17|20,periodic_table
OMNI_PT_FECL,484,inorganic_compound,periodic_only,17|26,periodic_table
OMNI_PT_NASF,485,inorganic_compound,periodic_only,8|11|16,periodic_table
OMNI_PT_AMNT,486,inorganic_compound,periodic_only,1|7|8,periodic_table
OMNI_PT_NACO,487,inorganic_compound,periodic_only,6|8|11,periodic_table
OMNI_PT_KPER,488,inorganic_compound,periodic_only,8|19|25,periodic_table
OMNI_PT_ALOX,489,inorganic_compound,periodic_only,8|13,periodic_table
OMNI_PT_MGOX,490,inorganic_compound,periodic_only,8|12,periodic_table
OMNI_PT_FEOX,491,inorganic_compound,periodic_only,8|26,periodic_table
OMNI_PT_CUOX,492,inorganic_compound,periodic_only,8|29,periodic_table
OMNI_PT_ZNOX,493,inorganic_compound,periodic_only,8|30,periodic_table
OMNI_PT_SUTR,494,inorganic_compound,periodic_only,8|16,periodic_table
OMNI_PT_NIMO,495,inorganic_compound,periodic_only,7|8,periodic_table
OMNI_PT_TIOX,496,inorganic_compound,periodic_only,8|22,periodic_table
OMNI_PT_UROX,497,inorganic_compound,periodic_only,8|92,periodic_table
OMNI_PT_CAPH,498,inorganic_compound,periodic_only,8|15|20,periodic_table
OMNI_PT_FESF,499,inorganic_compound,periodic_only,16|26,periodic_table
OMNI_PT_NASD,500,inorganic_compound,periodic_only,11|16,periodic_table
OMNI_PT_HYCN,501,inorganic_compound,periodic_only,1|6|7,periodic_table
OMNI_PT_CACB,502,inorganic_compound,periodic_only,6|20,periodic_table
OMNI_PT_SICB,503,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_BORN,504,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_SINT,505,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_NAHY,506,inorganic_compound,periodic_only,1|11,periodic_table
OMNI_PT_CAHY,507,inorganic_compound,periodic_only,1|20,periodic_table
OMNI_PT_ALCL,508,inorganic_compound,periodic_only,13|17,periodic_table
OMNI_PT_MGCL,509,inorganic_compound,periodic_only,12|17,periodic_table
OMNI_PT_CUCL,510,inorganic_compound,periodic_only,17|29,periodic_table
OMNI_PT_AMCL,511,inorganic_compound,periodic_only,1|7|17,periodic_table
OMNI_PT_SOLD,512,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CSTI,513,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CUNI,514,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_TIAL,515,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_NSAL,516,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_WALY,517,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_ZRAL,518,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CNST,519,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_NITI,520,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_GYPS,521,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_BAUX,522,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CUOR,523,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_ZNOR,524,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_PBOR,525,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_UORE,526,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_FELD,527,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_CEMT,528,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_ALCR,529,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_BSGL,530,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_QGLS,531,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
OMNI_PT_RFBK,532,alloy_engineering,alloy_menu,,SC_OMNI_ALLOY
RESERVED_PT_533,533,hidden_internal,hidden,,
RESERVED_PT_534,534,hidden_internal,hidden,,
RESERVED_PT_535,535,hidden_internal,hidden,,
RESERVED_PT_536,536,hidden_internal,hidden,,
RESERVED_PT_537,537,hidden_internal,hidden,,
RESERVED_PT_538,538,hidden_internal,hidden,,
RESERVED_PT_539,539,hidden_internal,hidden,,
RESERVED_PT_540,540,hidden_internal,hidden,,
RESERVED_PT_541,541,hidden_internal,hidden,,
RESERVED_PT_542,542,hidden_internal,hidden,,
RESERVED_PT_543,543,hidden_internal,hidden,,
RESERVED_PT_544,544,hidden_internal,hidden,,
RESERVED_PT_545,545,hidden_internal,hidden,,
RESERVED_PT_546,546,hidden_internal,hidden,,
RESERVED_PT_547,547,hidden_internal,hidden,,
RESERVED_PT_548,548,hidden_internal,hidden,,
RESERVED_PT_549,549,hidden_internal,hidden,,
RESERVED_PT_550,550,hidden_internal,hidden,,
RESERVED_PT_551,551,hidden_internal,hidden,,
RESERVED_PT_552,552,hidden_internal,hidden,,
RESERVED_PT_553,553,hidden_internal,hidden,,
RESERVED_PT_554,554,hidden_internal,hidden,,
RESERVED_PT_555,555,hidden_internal,hidden,,
RESERVED_PT_556,556,hidden_internal,hidden,,
RESERVED_PT_557,557,hidden_internal,hidden,,
RESERVED_PT_558,558,hidden_internal,hidden,,
RESERVED_PT_559,559,hidden_internal,hidden,,
RESERVED_PT_560,560,hidden_internal,hidden,,
RESERVED_PT_561,561,hidden_internal,hidden,,
RESERVED_PT_562,562,hidden_internal,hidden,,
RESERVED_PT_563,563,hidden_internal,hidden,,
RESERVED_PT_564,564,hidden_internal,hidden,,
RESERVED_PT_565,565,hidden_internal,hidden,,
RESERVED_PT_566,566,hidden_internal,hidden,,
RESERVED_PT_567,567,hidden_internal,hidden,,
RESERVED_PT_568,568,hidden_internal,hidden,,
RESERVED_PT_569,569,hidden_internal,hidden,,
RESERVED_PT_570,570,hidden_internal,hidden,,
RESERVED_PT_571,571,hidden_internal,hidden,,
RESERVED_PT_572,572,hidden_internal,hidden,,
RESERVED_PT_573,573,hidden_internal,hidden,,
RESERVED_PT_574,574,hidden_internal,hidden,,
RESERVED_PT_575,575,hidden_internal,hidden,,
OMNI_PT_H2IS,576,isotope,periodic_only,1,periodic_table
OMNI_PT_H3IS,577,isotope,periodic_only,1,periodic_table
OMNI_PT_C14I,578,isotope,periodic_only,6,periodic_table
OMNI_PT_CO60,579,isotope,periodic_only,27,periodic_table
OMNI_PT_SR90,580,isotope,periodic_only,38,periodic_table
OMNI_PT_I131,581,isotope,periodic_only,53,periodic_table
OMNI_PT_CS37,582,isotope,periodic_only,55,periodic_table
OMNI_PT_TH32,583,isotope,periodic_only,90,periodic_table
OMNI_PT_U235,584,isotope,periodic_only,92,periodic_table
OMNI_PT_U238,585,isotope,periodic_only,92,periodic_table
OMNI_PT_PU39,586,isotope,periodic_only,94,periodic_table
OMNI_PT_AM41,587,isotope,periodic_only,95,periodic_table
OMNI_PT_CF52,588,isotope,periodic_only,98,periodic_table
OMNI_PT_CH4M,589,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ETHA,590,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PROP,591,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_BUTA,592,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ETHE,593,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_METH,594,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ACET,595,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_BENZ,596,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_TOLU,597,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_GLYC,598,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ACTA,599,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_UREA,600,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_FATS,601,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_GLUC,602,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_STRC,603,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_CELU,604,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PRPE,605,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_BDIE,606,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_VCHL,607,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_STYR,608,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_TFET,609,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ADIP,610,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_DIAM,611,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_ERES,612,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PPLY,613,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PVCL,614,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_PSTY,615,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_NYLN,616,organic_material,organic_menu,,SC_OMNI_ORGANIC
OMNI_PT_RUBR,617,organic_material,organic_menu,,SC_OMNI_ORGANIC
