source_mod,source_commit,feature_type,source_files,description,core_area,performance_risk,save_risk,license_status,port_decision,notes
jacob1,b492616124d2346a5ec7bc70fa881fb73345396b,core_modification,32,32 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
jacob1,b492616124d2346a5ec7bc70fa881fb73345396b,core_modification,26,26 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
jacob1,b492616124d2346a5ec7bc70fa881fb73345396b,core_modification,33,33 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
magnet_toy,69f62fb7a34b8280df396e0a1b44204623a5525a,core_modification,2,2 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
magnet_toy,69f62fb7a34b8280df396e0a1b44204623a5525a,core_modification,25,25 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
magnet_toy,69f62fb7a34b8280df396e0a1b44204623a5525a,core_modification,7,7 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
magnet_toy,69f62fb7a34b8280df396e0a1b44204623a5525a,core_modification,18,18 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
magnet_toy,69f62fb7a34b8280df396e0a1b44204623a5525a,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,160,160 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,67,67 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
metacircuits,bd248383973eb2accc10f1ce9807b0c050e0b7dd,core_modification,45,45 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
norbs_mod,1503934b3bc78768d52cf959defd1771a6986a48,core_modification,1,1 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
norbs_mod,1503934b3bc78768d52cf959defd1771a6986a48,core_modification,22,22 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
norbs_mod,1503934b3bc78768d52cf959defd1771a6986a48,core_modification,7,7 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
norbs_mod,1503934b3bc78768d52cf959defd1771a6986a48,core_modification,9,9 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
nucular_mod,048080a79006c4d6668a1864a0e29758903c64bb,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
nucular_mod,048080a79006c4d6668a1864a0e29758903c64bb,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
nucular_mod,048080a79006c4d6668a1864a0e29758903c64bb,core_modification,146,146 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
nucular_mod,048080a79006c4d6668a1864a0e29758903c64bb,core_modification,61,61 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
nucular_mod,048080a79006c4d6668a1864a0e29758903c64bb,core_modification,33,33 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
powder_better,c082a639a3c68ca59b39618b2851de5afbb41e1e,core_modification,1,1 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
powder_better,c082a639a3c68ca59b39618b2851de5afbb41e1e,core_modification,6,6 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
powder_better,c082a639a3c68ca59b39618b2851de5afbb41e1e,core_modification,4,4 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
powder_better,c082a639a3c68ca59b39618b2851de5afbb41e1e,core_modification,7,7 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
record_mod,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
record_mod,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,core_modification,15,15 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
record_mod,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,core_modification,157,157 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
record_mod,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,core_modification,38,38 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
record_mod,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,core_modification,49,49 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
science_toy,541d44f15e04bf2c7ed5d5722421afc5f383cad6,core_modification,10,10 changed files in save,save,review,high,unknown,C_reference_only,Do not merge the external core wholesale
science_toy,541d44f15e04bf2c7ed5d5722421afc5f383cad6,core_modification,1,1 changed files in protocol,protocol,review,high,unknown,C_reference_only,Do not merge the external core wholesale
science_toy,541d44f15e04bf2c7ed5d5722421afc5f383cad6,core_modification,146,146 changed files in ui,ui,review,review,unknown,C_reference_only,Do not merge the external core wholesale
science_toy,541d44f15e04bf2c7ed5d5722421afc5f383cad6,core_modification,62,62 changed files in lua,lua,review,review,unknown,C_reference_only,Do not merge the external core wholesale
science_toy,541d44f15e04bf2c7ed5d5722421afc5f383cad6,core_modification,32,32 changed files in simulation_core,simulation_core,review,review,unknown,C_reference_only,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,17,17 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,1,1 changed files in protocol,protocol,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,152,152 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,67,67 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
seppo,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,core_modification,43,43 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
spikeviper,134ebf330eda42b4b300a2b7613ede71261697df,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
spikeviper,134ebf330eda42b4b300a2b7613ede71261697df,core_modification,15,15 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
spikeviper,134ebf330eda42b4b300a2b7613ede71261697df,core_modification,155,155 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
spikeviper,134ebf330eda42b4b300a2b7613ede71261697df,core_modification,38,38 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
spikeviper,134ebf330eda42b4b300a2b7613ede71261697df,core_modification,52,52 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
ultimata,b74971752433652c033559abea415ec3510ac433,core_modification,10,10 changed files in save,save,review,high,verified,B_rewrite_port,Do not merge the external core wholesale
ultimata,b74971752433652c033559abea415ec3510ac433,core_modification,15,15 changed files in network,network,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
ultimata,b74971752433652c033559abea415ec3510ac433,core_modification,190,190 changed files in ui,ui,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
ultimata,b74971752433652c033559abea415ec3510ac433,core_modification,38,38 changed files in lua,lua,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
ultimata,b74971752433652c033559abea415ec3510ac433,core_modification,104,104 changed files in simulation_core,simulation_core,review,review,verified,B_rewrite_port,Do not merge the external core wholesale
