compound_id,formula,zh_name,en_name,stable_id,identifier,category,standard_state,status,source_mapping,gameplay_role,tests,notes
compound.potassium_hydroxide,KOH,氢氧化钾,Potassium hydroxide,468,OMNI_PT_KOH,base,solid,implemented,OMNI_PT_KOH,strong base nitrate chemistry and aluminium attack,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale solid powder representation
compound.calcium_hydroxide,Ca(OH)2,氢氧化钙,Calcium hydroxide,469,OMNI_PT_CAOH,base,powder,implemented,OMNI_PT_CAOH,lime carbonation neutralisation and thermal decomposition,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded lime cycle
compound.barium_hydroxide,Ba(OH)2,氢氧化钡,Barium hydroxide,481,OMNI_PT_BAOH,base,powder,implemented,OMNI_PT_BAOH,heavy strong base neutralisation and barium chemistry,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale solid powder representation
compound.sodium_chloride,NaCl,氯化钠,Sodium chloride,26,DEFAULT_PT_SALT,salt,powder,reuse_official,DEFAULT_PT_SALT,electrolyte chloride and molten salt proxy,official element tests,official generic SALT is the sodium chloride mapping
compound.potassium_chloride,KCl,氯化钾,Potassium chloride,482,OMNI_PT_KCL,salt,powder,implemented,OMNI_PT_KCL,typed chloride neutralisation product and brine feedstock,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded salt-water proxy dissolution
compound.calcium_chloride,CaCl2,氯化钙,Calcium chloride,483,OMNI_PT_CACL,salt,powder,implemented,OMNI_PT_CACL,exothermic dissolution chloride processing and drying proxy,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded salt-water proxy dissolution
compound.iron_chloride,FeCl3,氯化铁,Iron chloride,484,OMNI_PT_FECL,salt,powder,implemented,OMNI_PT_FECL,iron corrosion chloride hydrolysis and oxide recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative ferric chloride proxy
compound.potassium_nitrate,KNO3,硝酸钾,Potassium nitrate,470,OMNI_PT_KNIT,salt,powder,implemented,OMNI_PT_KNIT,oxidizer fertilizer and bounded game-scale combustion,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,no real manufacturing instructions or exact ratios
compound.ammonium_nitrate,NH4NO3,硝酸铵,Ammonium nitrate,486,OMNI_PT_AMNT,salt,powder,implemented,OMNI_PT_AMNT,oxidizer nitrogen cycle and bounded thermal decomposition,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,no real manufacturing instructions or exact ratios
compound.potassium_permanganate,KMnO4,高锰酸钾,Potassium permanganate,488,OMNI_PT_KPER,salt,powder,implemented,OMNI_PT_KPER,bounded strong oxidizer sulfide cleanup and manganese recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,no real manufacturing instructions or exact ratios
compound.copper_sulfate,CuSO4,硫酸铜,Copper sulfate,471,OMNI_PT_CUSF,salt,powder,implemented,OMNI_PT_CUSF,sulfate production toxicity and iron displacement,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded copper recovery
compound.sodium_sulfate,Na2SO4,硫酸钠,Sodium sulfate,485,OMNI_PT_NASF,salt,powder,implemented,OMNI_PT_NASF,typed sulfuric acid neutralisation product and stable sulfate endpoint,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale solid salt representation
compound.calcium_carbonate,CaCO3,碳酸钙,Calcium carbonate,472,OMNI_PT_CACO,carbonate,powder,implemented,OMNI_PT_CACO,limestone calcination acid response and construction feedstock,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded lime carbon cycle
compound.sodium_bicarbonate,NaHCO3,碳酸氢钠,Sodium bicarbonate,473,OMNI_PT_NABC,carbonate,powder,implemented,OMNI_PT_NABC,weak-base neutralisation and carbon dioxide release,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded thermal decomposition
compound.sodium_carbonate,Na2CO3,碳酸钠,Sodium carbonate,487,OMNI_PT_NACO,carbonate,powder,implemented,OMNI_PT_NACO,warm carbon dioxide capture acid gas release and glass feedstock proxy,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded carbonate cycle
compound.carbon_monoxide,CO,一氧化碳,Carbon monoxide,474,OMNI_PT_COMO,oxide,gas,implemented,OMNI_PT_COMO,toxic reducing gas and hot oxygen combustion,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,incomplete-combustion production remains future work
compound.sulfur_dioxide,SO2,二氧化硫,Sulfur dioxide,475,OMNI_PT_SODI,oxide,gas,implemented,OMNI_PT_SODI,toxic acidic gas and sulfuric-acid precursor,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded peroxide oxidation
compound.nitrogen_dioxide,NO2,二氧化氮,Nitrogen dioxide,476,OMNI_PT_NODI,oxide,gas,implemented,OMNI_PT_NODI,toxic oxidizing gas and nitric-acid precursor,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded peroxide oxidation
compound.silicon_dioxide,SiO2,二氧化硅,Silicon dioxide,,,oxide,solid,planned,,quartz glass and ceramic feedstock,not_tested,official QRTZ mapping requires behavior audit
compound.aluminium_oxide,Al2O3,氧化铝,Aluminium oxide,489,OMNI_PT_ALOX,oxide,powder,implemented,OMNI_PT_ALOX,ceramic refractory abrasive and peroxide oxidation product,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,resists simple reducing gas network
compound.calcium_oxide,CaO,氧化钙,Calcium oxide,477,OMNI_PT_CAOX,oxide,powder,implemented,OMNI_PT_CAOX,lime hydration calcination and construction chemistry,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded exothermic hydration
compound.magnesium_oxide,MgO,氧化镁,Magnesium oxide,490,OMNI_PT_MGOX,oxide,powder,implemented,OMNI_PT_MGOX,refractory basic oxide and peroxide oxidation product,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,resists simple reducing gas network
compound.iron_oxide,Fe2O3,氧化铁,Iron oxide,491,OMNI_PT_FEOX,oxide,powder,implemented,OMNI_PT_FEOX,ore reduction iron recovery and chloride hydrolysis,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative mixed iron oxide proxy
compound.copper_oxide,CuO,氧化铜,Copper oxide,492,OMNI_PT_CUOX,oxide,powder,implemented,OMNI_PT_CUOX,copper recovery sulfate production and reducing atmosphere tests,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative copper oxide proxy
compound.zinc_oxide,ZnO,氧化锌,Zinc oxide,493,OMNI_PT_ZNOX,oxide,powder,implemented,OMNI_PT_ZNOX,zinc recovery refractory oxide and high-temperature reduction,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative zinc oxide proxy
compound.hydrogen_sulfide,H2S,硫化氢,Hydrogen sulfide,479,OMNI_PT_H2SG,inorganic_gas,gas,implemented,OMNI_PT_H2SG,toxic reducing gas sulfur cycle and bounded oxidation,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded catalytic synthesis without real preparation guidance
compound.sulfur_trioxide,SO3,三氧化硫,Sulfur trioxide,494,OMNI_PT_SUTR,oxide,gas,implemented,OMNI_PT_SUTR,dense toxic sulfuric-acid precursor and sulfur oxide cycle,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded hot sulfur dioxide oxidation and hydration
compound.nitric_oxide,NO,一氧化氮,Nitric oxide,495,OMNI_PT_NIMO,oxide,gas,implemented,OMNI_PT_NIMO,toxic nitrogen oxide synthesis and oxidation cycle,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded electrified high-temperature synthesis
compound.titanium_dioxide,TiO2,二氧化钛,Titanium dioxide,496,OMNI_PT_TIOX,oxide,powder,implemented,OMNI_PT_TIOX,refractory pigment ceramic feedstock and oxidation product,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,resists the supported simple reducing-gas network
compound.uranium_dioxide,UO2,二氧化铀,Uranium dioxide,497,OMNI_PT_UROX,oxide,powder,implemented,OMNI_PT_UROX,radioactive fuel-ceramic proxy and uranium recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative oxide without isotope precision claims
compound.calcium_phosphate,Ca3(PO4)2,磷酸钙,Calcium phosphate,498,OMNI_PT_CAPH,phosphate,powder,implemented,OMNI_PT_CAPH,mineral phosphate fertilizer feedstock and wet-plant integration,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale representative calcium phosphate
compound.iron_sulfide,FeS,硫化铁,Iron sulfide,499,OMNI_PT_FESF,sulfide,powder,implemented,OMNI_PT_FESF,sulfide ore acid processing and iron chloride feedstock,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded catalytic synthesis and acid gas release
compound.sodium_sulfide,Na2S,硫化钠,Sodium sulfide,500,OMNI_PT_NASD,sulfide,powder,implemented,OMNI_PT_NASD,reactive sulfide sulfur cycling and acid response,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded catalytic synthesis and generic salt endpoint
compound.hydrogen_cyanide,HCN,氰化氢,Hydrogen cyanide,501,OMNI_PT_HYCN,inorganic_gas,gas,implemented,OMNI_PT_HYCN,toxic gas containment pollution and bounded cleanup,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,direct-only with no manufacturing guidance
compound.calcium_carbide,CaC2,碳化钙,Calcium carbide,502,OMNI_PT_CACB,carbide,powder,implemented,OMNI_PT_CACB,acetylene feedstock lime recovery and water reactivity,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded game-scale synthesis without real operating instructions
compound.silicon_carbide,SiC,碳化硅,Silicon carbide,503,OMNI_PT_SICB,ceramic,solid,implemented,OMNI_PT_SICB,hard refractory semiconductor proxy and heat spreader,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded high-temperature synthesis and oxidation
compound.boron_nitride,BN,氮化硼,Boron nitride,504,OMNI_PT_BORN,ceramic,solid,implemented,OMNI_PT_BORN,insulating refractory and neutron-absorbing material,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded high-temperature synthesis
compound.silicon_nitride,Si3N4,氮化硅,Silicon nitride,505,OMNI_PT_SINT,ceramic,solid,implemented,OMNI_PT_SINT,strong insulating ceramic and thermal comparison material,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded high-temperature synthesis
compound.sodium_hydride,NaH,氢化钠,Sodium hydride,506,OMNI_PT_NAHY,hydride,powder,implemented,OMNI_PT_NAHY,hydrogen storage caustic feedstock and water reactivity,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded pressurised catalytic synthesis
compound.calcium_hydride,CaH2,氢化钙,Calcium hydride,507,OMNI_PT_CAHY,hydride,powder,implemented,OMNI_PT_CAHY,hydrogen storage lime feedstock and water reactivity,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,bounded pressurised catalytic synthesis
compound.aluminium_chloride,AlCl3,氯化铝,Aluminium chloride,508,OMNI_PT_ALCL,salt,powder,implemented,OMNI_PT_ALCL,typed chloride hydrolysis acid cycling and oxide recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative anhydrous chloride proxy
compound.magnesium_chloride,MgCl2,氯化镁,Magnesium chloride,509,OMNI_PT_MGCL,salt,powder,implemented,OMNI_PT_MGCL,typed chloride hydrolysis acid cycling and oxide recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale solid salt representation
compound.copper_chloride,CuCl2,氯化铜,Copper chloride,510,OMNI_PT_CUCL,salt,powder,implemented,OMNI_PT_CUCL,copper chlorination iron displacement and recovery,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,representative copper chloride proxy
compound.ammonium_chloride,NH4Cl,氯化铵,Ammonium chloride,511,OMNI_PT_AMCL,salt,powder,implemented,OMNI_PT_AMCL,ammonium salt chloride cycle and bounded thermal release,tools/tests/test_chemistry_audit.py;tools/runtime/chemistry_regression.lua,game-scale thermal dissociation proxy
