mod_id,mod_name,author,forum_url,repository_url,download_url,source_type,license,license_verified,base_tpt_version,default_branch,source_commit,last_commit_date,archived,buildable,element_count_claimed,element_count_detected,lua_script_count,core_files_modified,save_format_modified,network_code_modified,ui_modified,known_bugs,source_complete,binary_only,port_priority,audit_status,notes
mod_archive,TPTModArchive,JS101dotgit,,https://github.com/JS101dotgit/TPTModArchive.git,,binary_only,GPL-3.0,true,unknown,main,47d671da367183e57bc672f00d516dd057265704,2023-07-05T10:21:50+01:00,not_tested,false,not_tested,0,0,0,false,false,false,not_reviewed,false,true,2,scanned,archive index and historical sources
nucular_mod,The-Powder-Toy-nuculars-mod,nucular,,https://github.com/nucular/The-Powder-Toy-nuculars-mod.git,,mixed_source,GPL-3.0,true,89,master,048080a79006c4d6668a1864a0e29758903c64bb,2014-08-06T16:14:58+02:00,not_tested,not_tested,not_tested,207,1,251,true,false,true,not_reviewed,not_tested,false,2,scanned,dead nuclear-themed source reference
plant_mod,TPT_Plantmod,Dev1475yt,,https://github.com/Dev1475yt/TPT_Plantmod.git,,lua_source,unknown,false,unknown,main,42324c66688185263872030d13362c8fa38ba5ae,2026-04-10T08:47:41-05:00,not_tested,false,not_tested,0,1,0,false,false,false,not_reviewed,not_tested,false,2,scanned,plant ecology candidate
realistic_combustibles,Wa,noideawhattonamemyacount,,https://github.com/noideawhattonamemyacount/Wa.git,,lua_source,unknown,false,unknown,main,4af86e6fb9d3d31f1d4daea6decdb34458029004,2026-06-06T13:56:05-04:00,not_tested,false,not_tested,29,4,0,false,false,false,not_reviewed,not_tested,false,2,scanned,combustibles candidate
realistic_science,realistic_science,unknown,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=15471,,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,2,not_cloned,historical source link; host and license require manual recovery
science_toy,The-Science-Toy,cbeimers113,,https://github.com/cbeimers113/The-Science-Toy.git,,mixed_source,unknown,false,90,master,541d44f15e04bf2c7ed5d5722421afc5f383cad6,2015-05-09T14:31:21-04:00,not_tested,false,not_tested,199,1,251,true,false,true,not_reviewed,not_tested,false,2,scanned,science oriented mod
seppo,Seppo-s-Metallurgy-Mod-SRC,SeppoTPT,,https://github.com/SeppoTPT/Seppo-s-Metallurgy-Mod-SRC.git,,mixed_source,GPL-3.0,true,95,master,c3a8dd171a1c0fefc9a386e7e069f81d91f1514f,2020-05-28T23:41:02-04:00,not_tested,not_tested,not_tested,195,2,290,true,true,true,not_reviewed,not_tested,false,2,scanned,public repository has missing element implementations
tommig_mod,tommig_mod,unknown,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=11279,,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,2,not_cloned,historical chemistry source links; availability and license require review
tpt_remade,tpt_remade,_Theo,https://powdertoy.co.uk/Discussions/Thread/View.html?Post=317208,,https://pastebin.com/raw/3ZBzHjy9,lua_source,unknown,false,unknown,not_applicable,sha256:5EB11BDC020DB660106521BE1D6A0AD662F0F149849D5E38BD787296324378B0,2021-01-30,not_applicable,false,not_tested,119,1,0,false,false,not_tested,not_reviewed,true,false,2,downloaded_source,historical Lua periodic-content candidate; license unknown
ultimata,TPT-Ultimata-Mod,Bowserinator,,https://github.com/Bowserinator/TPT-Ultimata-Mod.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,development,b74971752433652c033559abea415ec3510ac433,2023-10-08T16:42:48-04:00,not_tested,not_tested,not_tested,350,5,357,true,true,true,not_reviewed,not_tested,false,2,scanned,large special physics mod
lua_mods_serg,TptMods,SergSoftwares,,https://github.com/SergSoftwares/TptMods.git,,lua_source,unknown,false,unknown,master,523d02931c868387038a8831d628cde5751dfd06,2016-05-30T18:01:42-03:00,not_tested,false,not_tested,17,2,0,false,false,false,not_reviewed,not_tested,false,3,scanned,Lua mod collection
magnet_toy,The-Magnet-Toy,T307-coder,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=27832,https://github.com/T307-coder/The-Magnet-Toy.git,,mixed_source,GPL-3.0,true,1.0.8-elusive,the-electric-magnet-toy,69f62fb7a34b8280df396e0a1b44204623a5525a,2026-06-29T20:24:21+08:00,not_tested,not_tested,not_tested,218,1,53,true,false,true,not_reviewed,not_tested,false,3,scanned,electromagnetism system; high core and performance review risk
metacircuits,metacircuits,cbeimers113,,https://github.com/cbeimers113/metacircuits.git,,mixed_source,GPL-3.0,true,95,master,bd248383973eb2accc10f1ce9807b0c050e0b7dd,2021-04-16T14:51:12-04:00,not_tested,not_tested,not_tested,208,2,300,true,true,true,not_reviewed,not_tested,false,3,scanned,logic gate system
norbs_mod,TPT-Norbs-Mod,norbcodes,,https://github.com/norbcodes/TPT-Norbs-Mod.git,,mixed_source,GPL-3.0,true,1.0.8-elusive,master,1503934b3bc78768d52cf959defd1771a6986a48,2026-05-13T16:33:50+02:00,not_tested,not_tested,not_tested,212,1,39,true,false,true,not_reviewed,not_tested,false,3,scanned,current general-purpose mod fork
powder_better,powder-toy-but-better,samsa12,,https://github.com/samsa12/powder-toy-but-better.git,,mixed_source,GPL-3.0,true,1.0.8-elusive,main,c082a639a3c68ca59b39618b2851de5afbb41e1e,2026-06-13T13:03:38+03:00,not_tested,not_tested,not_tested,211,1,18,true,false,true,not_reviewed,not_tested,false,3,scanned,new element and optimization fork
zakpack,zakpack,Zak03,,https://github.com/Zak03/Powder-toy-lua-elemant-pack-zakpack-,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,3,not_cloned,five Lua elements
alchemagica,alchemagica,Rebmiami,,https://github.com/Rebmiami/Alchemagica,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,magic theme low priority
alchemy,TPT-Alchemy,jacob1,https://powdertoy.co.uk/Discussions/Thread/View.html?Post=295857,https://github.com/jacob1/TPT-Alchemy.git,,mixed_source,GPL-3.0,true,91,master,9a593ce11536e2e683bc64a698399c0805ce77a1,2016-08-17T14:54:42+03:00,not_tested,not_tested,not_tested,187,1,255,true,false,true,not_reviewed,not_tested,false,4,scanned,progress systems rejected; reactions only may be reviewed
bmn_mod,bmn-tpt,FeynmanTech,,https://github.com/FeynmanTech/bmn-tpt.git,,mixed_source,GPL-3.0,true,90,master,419f9cff53f2dfe55ce785c7697961cda859793e,2014-10-26T15:51:41-07:00,not_tested,not_tested,not_tested,185,1,251,true,false,true,not_reviewed,not_tested,false,4,scanned,older BMN mod
dtttpt,DTTTPT,DavidTheTech,,https://github.com/DavidTheTech/DTTTPT.git,,mixed_source,GPL-3.0,true,91,master,798b958d6bab4e6460a905788fc999ac0f3bf3cf,2016-03-16T16:29:57Z,not_tested,not_tested,not_tested,203,1,250,true,false,true,not_reviewed,not_tested,false,4,scanned,older general mod
record_mod,TPT-Record-Mod,catsoften,,https://github.com/catsoften/TPT-Record-Mod.git,,mixed_source,GPL-3.0,true,the.cake.is.a.lie,master,a3a6a6543dcff48508295d1cdbc57d8c7fd0e47b,2023-05-31T02:49:08Z,not_tested,not_tested,not_tested,203,1,269,true,true,true,not_reviewed,not_tested,false,4,scanned,recording UI feature
ryan_mod,ryan_mod,Ryan-31415,,https://github.com/Ryan-31415/tptmod-ryan,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,general mod
temp_mod_fork,temp_mod_fork,temp-TPT-mod-1,,https://github.com/temp-TPT-mod-1/The-Powder-Toy-mod-fork,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,old fork
toast_mod,toast_mod,Toastfem,,https://github.com/Toastfem/The-Powder-Toy-Toast-mod,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,general mod
tpt_elements_editor,tpt_elements_editor,boxmein,,https://github.com/boxmein/tptelements2,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,MIT editor and element metadata tooling
triheron_ui,triheron_ui,Triheron,,https://github.com/Triheron/The-Powder-Toy-Triheron,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,archived UI mod
unproductive,The-Powder-Toy,alecnotalex,https://powdertoy.co.uk/Discussions/Thread/View.html?Thread=10803,https://github.com/alecnotalex/The-Powder-Toy.git,,cpp_source,GPL-2.0,true,unknown,master,5909d0b607b0ecd0cbf6f081cbe9ac0598a33d7a,2011-10-05T08:07:12-03:00,not_tested,false,not_tested,83,0,0,false,false,false,not_reviewed,not_tested,false,4,scanned,old low-quality element mod
yeah_mod,yeah_mod,yeah42148,,https://github.com/yeah42148/ThePowderToy,,unavailable,unknown,false,unknown,unknown,,,not_tested,not_tested,not_tested,0,0,not_tested,not_tested,not_tested,not_tested,not_reviewed,false,false,4,not_cloned,older general mod
