source_mod,source_commit,source_file,source_identifier,source_id,source_name,source_code,category,state,color,properties_summary,update_function,graphics_function,dependencies,reaction_count,reaction_targets,global_scan,particle_creation,particle_deletion,performance_risk,save_risk,license_status,port_decision
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BHOL.cpp,DEFAULT_PT_BHOL,,VACU,BHOL,SC_SPECIAL,solid,PIXPACK(0x303030),TYPE_SOLID,BHOL::update,,PT_DCEL;PT_ETRD,2,PT_DCEL;PT_ETRD,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BIZR.cpp,DEFAULT_PT_BIZR,,BIZR,BIZR,SC_LIQUID,liquid,PIXPACK(0x00FF77),TYPE_LIQUID,BIZR::update,BIZR::graphics,PT_BIZRG;PT_BIZRS,2,PT_BIZRG;PT_BIZRS,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BIZRG.cpp,DEFAULT_PT_BIZRG,,BIZG,BIZRG,SC_CRACKER2,gas,PIXPACK(0x00FFBB),TYPE_GAS,Element_BIZR::update,Element_BIZR::graphics,PT_BIZR,1,PT_BIZR,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BIZRS.cpp,DEFAULT_PT_BIZRS,,BIZS,BIZRS,SC_CRACKER2,solid,PIXPACK(0x00E455),TYPE_SOLID,Element_BIZR::update,Element_BIZR::graphics,PT_BIZR,1,PT_BIZR,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BMTL.cpp,DEFAULT_PT_BMTL,,BMTL,BMTL,SC_SOLIDS,solid,PIXPACK(0x505070),TYPE_SOLID|PROP_CONDUCTS|PROP_LIFE_DEC|PROP_HOT_GLOW,BMTL::update,,PT_BRMT;PT_IRON;PT_LAVA;PT_METL,6,PT_BRMT;PT_IRON;PT_LAVA;PT_METL,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BOMB.cpp,DEFAULT_PT_BOMB,,BOMB,BOMB,SC_EXPLOSIVE,powder,PIXPACK(0xFFF288),TYPE_PART|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC|PROP_SPARKSETTLE,BOMB::update,BOMB::graphics,PT_BCLN;PT_CLNE;PT_DEST;PT_DMND;PT_EMBR;PT_GBMB;PT_GPMP;PT_NITR;PT_PCLN;PT_VIBR,15,PT_BCLN;PT_CLNE;PT_DEST;PT_DMND;PT_EMBR;PT_GBMB;PT_GPMP;PT_NITR;PT_PCLN;PT_VIBR,false,3,2,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BOYL.cpp,DEFAULT_PT_BOYL,,BOYL,BOYL,SC_GAS,gas,PIXPACK(0x0A3200),TYPE_GAS,BOYL::update,,PT_FOG;PT_O2;PT_WATR,6,PT_FOG;PT_O2;PT_WATR,false,0,1,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BRAY.cpp,DEFAULT_PT_BRAY,,BRAY,BRAY,SC_ELEC,solid,PIXPACK(0xFFFFFF),TYPE_SOLID|PROP_LIFE_DEC|PROP_LIFE_KILL,,BRAY::graphics,,0,,false,0,0,low,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BRCK.cpp,DEFAULT_PT_BRCK,,BRCK,BRCK,SC_SOLIDS,solid,PIXPACK(0x808080),TYPE_SOLID|PROP_HOT_GLOW,BRCK::update,BRCK::graphics,PT_ETRD;PT_FRME;PT_LAVA;PT_STNE,4,PT_ETRD;PT_FRME;PT_LAVA;PT_STNE,false,0,0,low,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BREC.cpp,DEFAULT_PT_BREC,,BREL,BREC,SC_POWDERS,powder,PIXPACK(0x707060),TYPE_PART|PROP_CONDUCTS|PROP_LIFE_DEC|PROP_HOT_GLOW,BREC::update,,PT_EXOT,2,PT_EXOT,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BRMT.cpp,DEFAULT_PT_BRMT,,BRMT,BRMT,SC_POWDERS,powder,PIXPACK(0x705060),TYPE_PART|PROP_CONDUCTS|PROP_LIFE_DEC|PROP_HOT_GLOW,BRMT::update,,PT_BMTL;PT_BREC;PT_THRM,6,PT_BMTL;PT_BREC;PT_THRM,false,2,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BTRY.cpp,DEFAULT_PT_BTRY,,BTRY,BTRY,SC_ELEC,solid,PIXPACK(0x858505),TYPE_SOLID,BTRY::update,,PT_INSL;PT_INWR;PT_NTCT;PT_PLSM;PT_PTCT;PT_SLTW;PT_SPRK;PT_WATR,9,PT_INSL;PT_INWR;PT_NTCT;PT_PLSM;PT_PTCT;PT_SLTW;PT_SPRK;PT_WATR,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/BVBR.cpp,DEFAULT_PT_BVBR,,BVBR,BVBR,SC_NUCLEAR,powder,PIXPACK(0x005000),TYPE_PART|PROP_LIFE_DEC,Element_VIBR::update,Element_VIBR::graphics,,0,,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/C5.cpp,DEFAULT_PT_C5,,C-5,C5,SC_EXPLOSIVE,solid,PIXPACK(0x2050E0),TYPE_SOLID | PROP_NEUTPENETRATE,C5::update,,PT_CFLM;PT_HSWC,3,PT_CFLM;PT_HSWC,false,0,0,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CAUS.cpp,DEFAULT_PT_CAUS,,CAUS,CAUS,SC_GAS,gas,PIXPACK(0x80FFA0),TYPE_GAS|PROP_DEADLY,CAUS::update,,PT_ACID;PT_BOYL;PT_CLNE;PT_CO2;PT_GLAS;PT_PCLN,11,PT_ACID;PT_BOYL;PT_CLNE;PT_CO2;PT_GLAS;PT_PCLN,false,1,3,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CBNW.cpp,DEFAULT_PT_CBNW,,BUBW,CBNW,SC_LIQUID,liquid,PIXPACK(0x2030D0),TYPE_LIQUID|PROP_CONDUCTS|PROP_LIFE_DEC|PROP_NEUTPENETRATE,CBNW::update,CBNW::graphics,PT_BIZRS;PT_CO2;PT_DMND;PT_FIRE;PT_GLAS;PT_ICEI;PT_LOLZ;PT_LRBD;PT_RBDM;PT_WATR;PT_WTRV,17,PT_BIZRS;PT_CO2;PT_DMND;PT_FIRE;PT_GLAS;PT_ICEI;PT_LOLZ;PT_LRBD;PT_RBDM;PT_WATR;PT_WTRV,false,0,2,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CLNE.cpp,DEFAULT_PT_CLNE,,CLNE,CLNE,SC_SPECIAL,solid,PIXPACK(0xFFD010),TYPE_SOLID|PROP_DRAWONCTYPE|PROP_NOCTYPEDRAW,CLNE::update,,PT_BCLN;PT_ETRD;PT_LAVA;PT_LIFE;PT_LIGH;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,12,PT_BCLN;PT_ETRD;PT_LAVA;PT_LIFE;PT_LIGH;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,false,2,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CLST.cpp,DEFAULT_PT_CLST,,CLST,CLST,SC_POWDERS,powder,PIXPACK(0xE4A4A4),TYPE_PART,CLST::update,CLST::graphics,PT_BANG;PT_LAVA;PT_NITR;PT_PSTS;PT_WATR,9,PT_BANG;PT_LAVA;PT_NITR;PT_PSTS;PT_WATR,false,3,1,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CNCT.cpp,DEFAULT_PT_CNCT,,CNCT,CNCT,SC_POWDERS,powder,PIXPACK(0xC0C0C0),TYPE_PART|PROP_HOT_GLOW,,,PT_LAVA,1,PT_LAVA,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CO2.cpp,DEFAULT_PT_CO2,,CO2,CO2,SC_GAS,gas,PIXPACK(0x666666),TYPE_GAS,CO2::update,,PT_CBNW;PT_DRIC;PT_DSTW;PT_ELEC;PT_FIRE;PT_NEUT;PT_O2;PT_WATR,17,PT_CBNW;PT_DRIC;PT_DSTW;PT_ELEC;PT_FIRE;PT_NEUT;PT_O2;PT_WATR,false,5,3,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/COAL.cpp,DEFAULT_PT_COAL,,COAL,COAL,SC_SOLIDS,solid,PIXPACK(0x222222),TYPE_SOLID,COAL::update,COAL::graphics,PT_BCOL;PT_DUST;PT_ETRD;PT_FIRE;PT_GUNP;PT_INST;PT_IRON;PT_METL,19,PT_BCOL;PT_DUST;PT_ETRD;PT_FIRE;PT_GUNP;PT_INST;PT_IRON;PT_METL,false,6,3,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CONV.cpp,DEFAULT_PT_CONV,,CONV,CONV,SC_SPECIAL,solid,PIXPACK(0x0AAB0A),TYPE_SOLID|PROP_DRAWONCTYPE|PROP_NOCTYPEDRAW,CONV::update,,PT_BCLN;PT_CLNE;PT_DMND;PT_LIFE;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,10,PT_BCLN;PT_CLNE;PT_DMND;PT_LIFE;PT_NUM;PT_PBCN;PT_PCLN;PT_STKM;PT_STKM2,false,1,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CRAY.cpp,DEFAULT_PT_CRAY,,CRAY,CRAY,SC_ELEC,solid,PIXPACK(0xBBFF00),TYPE_SOLID|PROP_LIFE_DEC,CRAY::update,,PT_DMND;PT_DRAY;PT_ETRD;PT_FILT;PT_INST;PT_INWR;PT_METL;PT_NUM;PT_PSCN;PT_SPRK,12,PT_DMND;PT_DRAY;PT_ETRD;PT_FILT;PT_INST;PT_INWR;PT_METL;PT_NUM;PT_PSCN;PT_SPRK,false,1,1,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/CRMC.cpp,DEFAULT_PT_CRMC,,CRMC,CRMC,SC_SOLIDS,solid,PIXPACK(0xD6D1D4),TYPE_SOLID | PROP_NEUTPASS,CRMC::update,CRMC::graphics,PT_CLST,2,PT_CLST,false,1,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DCEL.cpp,DEFAULT_PT_DCEL,,DCEL,DCEL,SC_FORCE,solid,PIXPACK(0x99CC00),TYPE_SOLID,DCEL::update,DCEL::graphics,PT_ACEL;PT_ETRD,2,PT_ACEL;PT_ETRD,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DESL.cpp,DEFAULT_PT_DESL,,DESL,DESL,SC_LIQUID,liquid,PIXPACK(0x440000),TYPE_LIQUID,,,PT_FIRE,1,PT_FIRE,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DEST.cpp,DEFAULT_PT_DEST,,DEST,DEST,SC_EXPLOSIVE,powder,PIXPACK(0xFF3311),TYPE_PART|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC,DEST::update,DEST::graphics,PT_BCLN;PT_CLNE;PT_DEUT;PT_DMG;PT_DMND;PT_INSL;PT_NEUT;PT_PBCN;PT_PCLN;PT_PLSM;PT_PLUT;PT_PUMP,15,PT_BCLN;PT_CLNE;PT_DEUT;PT_DMG;PT_DMND;PT_INSL;PT_NEUT;PT_PBCN;PT_PCLN;PT_PLSM;PT_PLUT;PT_PUMP,false,2,1,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DEUT.cpp,DEFAULT_PT_DEUT,,DEUT,DEUT,SC_NUCLEAR,liquid,PIXPACK(0x00153F),TYPE_LIQUID|PROP_NEUTPASS,DEUT::update,DEUT::graphics,,2,,false,1,1,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DLAY.cpp,DEFAULT_PT_DLAY,,DLAY,DLAY,SC_POWERED,solid,PIXPACK(0x753590),TYPE_SOLID,DLAY::update,DLAY::graphics,PT_INSL;PT_NSCN;PT_PSCN;PT_SPRK,5,PT_INSL;PT_NSCN;PT_PSCN;PT_SPRK,false,1,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DMG.cpp,DEFAULT_PT_DMG,,DMG,DMG,SC_FORCE,powder,PIXPACK(0x88FF88),TYPE_PART|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC|PROP_SPARKSETTLE,DMG::update,DMG::graphics,PT_BCLN;PT_BCOL;PT_BGLA;PT_BMTL;PT_BRMT;PT_CLNE;PT_COAL;PT_DMND;PT_EMBR;PT_GLAS;PT_NUM;PT_PCLN;PT_PQRT;PT_QRTZ;PT_TUNG,22,PT_BCLN;PT_BCOL;PT_BGLA;PT_BMTL;PT_BRMT;PT_CLNE;PT_COAL;PT_DMND;PT_EMBR;PT_GLAS;PT_NUM;PT_PCLN;PT_PQRT;PT_QRTZ;PT_TUNG,false,0,1,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DMND.cpp,DEFAULT_PT_DMND,,DMND,DMND,SC_SPECIAL,solid,PIXPACK(0xCCFFFF),TYPE_SOLID,,,,0,,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DRAY.cpp,DEFAULT_PT_DRAY,,DRAY,DRAY,SC_ELEC,solid,PIXPACK(0xFFAA22),TYPE_SOLID|PROP_LIFE_DEC,DRAY::update,,PT_ETRD;PT_FRAY;PT_INWR;PT_LIFE;PT_METL;PT_PSCN;PT_SPRK,12,PT_ETRD;PT_FRAY;PT_INWR;PT_LIFE;PT_METL;PT_PSCN;PT_SPRK,false,2,2,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DRIC.cpp,DEFAULT_PT_DRIC,,DRIC,DRIC,SC_SOLIDS,solid,PIXPACK(0xE0E0E0),TYPE_SOLID,,,PT_CO2,1,PT_CO2,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DSTW.cpp,DEFAULT_PT_DSTW,,DSTW,DSTW,SC_LIQUID,liquid,PIXPACK(0x1020C0),TYPE_LIQUID|PROP_NEUTPASS,DSTW::update,,PT_FIRE;PT_ICEI;PT_LRBD;PT_RBDM;PT_SALT;PT_SLTW;PT_WATR;PT_WTRV,15,PT_FIRE;PT_ICEI;PT_LRBD;PT_RBDM;PT_SALT;PT_SLTW;PT_WATR;PT_WTRV,false,0,2,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DTEC.cpp,DEFAULT_PT_DTEC,,DTEC,DTEC,SC_SENSOR,solid,PIXPACK(0xFD9D18),TYPE_SOLID,DTEC::update,,PT_BRAY;PT_FILT;PT_INSL;PT_INWR;PT_LIFE;PT_NTCT;PT_PHOT;PT_PTCT;PT_SLTW;PT_SPRK;PT_WATR,12,PT_BRAY;PT_FILT;PT_INSL;PT_INWR;PT_LIFE;PT_NTCT;PT_PHOT;PT_PTCT;PT_SLTW;PT_SPRK;PT_WATR,false,0,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DUST.cpp,DEFAULT_PT_DUST,,DUST,DUST,SC_POWDERS,powder,PIXPACK(0xFFE0A0),TYPE_PART|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC,,,,0,,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/DYST.cpp,DEFAULT_PT_DYST,,DYST,DYST,SC_POWDERS,powder,PIXPACK(0xBBB0A0),TYPE_PART,,,PT_DUST,1,PT_DUST,false,0,0,low,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ELEC.cpp,DEFAULT_PT_ELEC,,ELEC,ELEC,SC_NUCLEAR,energy,PIXPACK(0xDFEFFF),TYPE_ENERGY|PROP_LIFE_DEC|PROP_LIFE_KILL_DEC,ELEC::update,ELEC::graphics,PT_AMTR;PT_CBNW;PT_DEUT;PT_DSTW;PT_EMBR;PT_EXOT;PT_GLAS;PT_GOLD;PT_H2;PT_LCRY;PT_NBLE;PT_NEUT;PT_NONE;PT_O2;PT_PROT;PT_SLTW;PT_SPRK;PT_WATR,29,PT_AMTR;PT_CBNW;PT_DEUT;PT_DSTW;PT_EMBR;PT_EXOT;PT_GLAS;PT_GOLD;PT_H2;PT_LCRY;PT_NBLE;PT_NEUT;PT_NONE;PT_O2;PT_PROT;PT_SLTW;PT_SPRK;PT_WATR,false,5,5,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/EMBR.cpp,DEFAULT_PT_EMBR,,EMBR,EMBR,SC_EXPLOSIVE,powder,PIXPACK(0xFFF288),TYPE_PART|PROP_LIFE_DEC|PROP_LIFE_KILL|PROP_SPARKSETTLE,EMBR::update,EMBR::graphics,,1,,false,0,1,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/EMP.cpp,DEFAULT_PT_EMP,,EMP,EMP,SC_ELEC,solid,PIXPACK(0x66AAFF),TYPE_SOLID|PROP_LIFE_DEC,,EMP::graphics,PT_ARAY;PT_BMTL;PT_BREC;PT_BRMT;PT_DLAY;PT_INST;PT_METL;PT_NSCN;PT_NTCT;PT_PSCN;PT_PTCT;PT_SPRK;PT_SWCH;PT_WIFI;PT_WIRE,23,PT_ARAY;PT_BMTL;PT_BREC;PT_BRMT;PT_DLAY;PT_INST;PT_METL;PT_NSCN;PT_NTCT;PT_PSCN;PT_PTCT;PT_SPRK;PT_SWCH;PT_WIFI;PT_WIRE,false,2,0,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/ETRD.cpp,DEFAULT_PT_ETRD,,ETRD,ETRD,SC_ELEC,solid,PIXPACK(0x404040),TYPE_SOLID|PROP_CONDUCTS|PROP_LIFE_DEC,ETRD::update,,PT_INST;PT_NONE;PT_TESC,8,PT_INST;PT_NONE;PT_TESC,false,2,1,medium,low,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/EXOT.cpp,DEFAULT_PT_EXOT,,EXOT,EXOT,SC_NUCLEAR,liquid,PIXPACK(0x247BFE),TYPE_LIQUID|PROP_NEUTPASS,EXOT::update,EXOT::graphics,PT_BREC;PT_CFLM;PT_CLNE;PT_CONV;PT_DMND;PT_ETRD;PT_GOLD;PT_LAVA;PT_LIFE;PT_NBHL;PT_PCLN;PT_PROT;PT_PRTI;PT_PRTO;PT_TRON;PT_TTAN;PT_VIBR;PT_VOID;PT_WARP,25,PT_BREC;PT_CFLM;PT_CLNE;PT_CONV;PT_DMND;PT_ETRD;PT_GOLD;PT_LAVA;PT_LIFE;PT_NBHL;PT_PCLN;PT_PROT;PT_PRTI;PT_PRTO;PT_TRON;PT_TTAN;PT_VIBR;PT_VOID;PT_WARP,false,2,2,medium,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/FIGH.cpp,DEFAULT_PT_FIGH,,FIGH,FIGH,SC_SPECIAL,unknown,PIXPACK(0xFFE0A0),PROP_NOCTYPEDRAW,FIGH::update,Element_STKM::graphics,PT_FIRE;PT_LIGH;PT_NEUT,4,PT_FIRE;PT_LIGH;PT_NEUT,false,0,1,low,review,verified,B_rewrite_port
alchemy,9a593ce11536e2e683bc64a698399c0805ce77a1,src/simulation/elements/FILT.cpp,DEFAULT_PT_FILT,,FILT,FILT,SC_SOLIDS,solid,PIXPACK(0x000056),TYPE_SOLID | PROP_NOAMBHEAT | PROP_LIFE_DEC,FILT::update,FILT::graphics,PT_ETRD;PT_HSWC,2,PT_ETRD;PT_HSWC,false,0,0,low,review,verified,B_rewrite_port
