component,category,registry_source_mod,source_url,version_or_commit,usage,license,license_file,license_sha256,included_in_binary,notice_in_package,package_path,audit_status
lib-fftw3f,static_library,,https://www.fftw.org/,3.3.8,gravity FFT implementation,GPL-2.0-or-later,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/fftw3f.LICENSE,231F7EDCC7352D7734A96EEF0B8030F77982678C516876FCB81E25B32D68564C,true,true,LICENSES/LIBRARIES/fftw3f.LICENSE.txt,verified
lib-jsoncpp,static_library,,https://github.com/open-source-parsers/jsoncpp,1.9.5,JSON parsing and serialization,MIT,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/jsoncpp.LICENSE,CEC0DB5F6D7ED6B3A72647BD50AED02E13C3377FD44382B96DC2915534C042AD,true,true,LICENSES/LIBRARIES/jsoncpp.LICENSE.txt,verified
lib-curl,static_library,,https://curl.se/libcurl/,8.10.1,HTTP client support,curl license,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/libcurl.LICENSE,ADB1FC06547FD136244179809F7B7C2D2AE6C4534F160AA513AF9B6A12866A32,true,true,LICENSES/LIBRARIES/libcurl.LICENSE.txt,verified
lib-libpng,static_library,,http://www.libpng.org/pub/png/libpng.html,1.6.49,PNG encoding and decoding,libpng-2.0,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/libpng.LICENSE,16D9DAAAFBF63A31A5BDC91D4600972548FEF5AAA1244202393288DBD079C49A,true,true,LICENSES/LIBRARIES/libpng.LICENSE.txt,verified
lib-lua51,bundled_optional_library,,https://www.lua.org/,5.1.5,optional interpreter present in pinned prebuilt bundle but not selected by Windows auto mode,MIT,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/lua5.1.LICENSE,571773DD4C93A39EB31C81B6B48C83D8CD4264E2B132BF192B404D863FB5E357,false,true,LICENSES/LIBRARIES/lua5.1.LICENSE.txt,verified
lib-lua52,bundled_optional_library,,https://www.lua.org/,5.2.4,optional interpreter present in pinned prebuilt bundle but not selected by Windows auto mode,MIT,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/lua5.2.LICENSE,E70C36AA1B4D646FD69EA205A68C2D3154316F00EB37399AF416AD94DD83907B,false,true,LICENSES/LIBRARIES/lua5.2.LICENSE.txt,verified
lib-luajit,static_library,,https://luajit.org/,2.1.0-git,Lua interpreter selected by Windows auto mode,MIT,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/luajit.LICENSE,4E546DC0556CA5F1514AE9D9BAD723501A51DA556342590B7076FB42F2930F25,true,true,LICENSES/LIBRARIES/luajit.LICENSE.txt,verified
lib-mbedtls,static_library,,https://github.com/Mbed-TLS/mbedtls,3.6.4,TLS support used by static libcurl,Apache-2.0,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/mbedtls.LICENSE,9B405EF4C89342F5EAE1DD828882F931747F71001CFBA7D114801039B52AD09B,true,true,LICENSES/LIBRARIES/mbedtls.LICENSE.txt,verified
lib-nghttp2,static_library,,https://github.com/nghttp2/nghttp2,1.66.0,HTTP/2 support used by static libcurl,MIT,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/nghttp2.LICENSE,6B94F3ABC1AABD0C72A7C7D92A77F79DDA7C8A0CB3DF839A97890B4116A2DE2A,true,true,LICENSES/LIBRARIES/nghttp2.LICENSE.txt,verified
lib-sdl2,static_library,,https://libsdl.org/,2.30.9,window input audio and platform layer,Zlib,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/sdl2.LICENSE,9B9E1764F06701BCF7CE21E942C682D5921BA0900C6FCA760321B1C8837A9662,true,true,LICENSES/LIBRARIES/sdl2.LICENSE.txt,verified
lib-zlib,static_library,,https://zlib.net/,1.3.1,compression dependency used by libpng and libcurl,Zlib,subprojects/tpt-libs-prebuilt-x86_64-windows-mingw-static-release-v20251019131007/licenses/zlib.LICENSE,0F854F426019C475697E17F1B0FA638270F6E700BC756D9BFE50D17268BD3281,true,true,LICENSES/LIBRARIES/zlib.LICENSE.txt,verified
data-openstax-chemistry,scientific_data,,https://openstax.org/books/chemistry/pages/5-3-enthalpy,web-edition-accessed-2026-08-12,carbon oxidation equation and attributed standard molar enthalpy value,CC-BY-4.0,resources/third_party/OPENSTAX_CHEMISTRY_CC-BY-4.0.txt,94C3A04C7B17D0672424D3EADEB8859310867FB944CAB845F5D11608D6532FA6,true,true,LICENSES/OPENSTAX-CHEMISTRY-CC-BY-4.0.txt,verified
